Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,13,-2,Texas Tech,Purdue,0.5789,0.5502,24,28,9,6,0.5983,0.6233,0,0,14.8,19.3,12,4,0,0,21.95,26.66,12,5,114,123.2,92.1,96.6,0.5589,0.5652,7,8,7,5,6,5,5,5,8,14,8,14,0,0,8,19,18.063,155,3,2
1,4,5,Kansas,Clemson,0.5789,0.5755,27,23,7,9,0.6381,0.6199,0,0,16.3,13.2,8,18,0,0,23.24,20.26,9,19,120.9,113.8,97.7,93.5,0.6041,0.5868,9,7,20,4,11,5,2,6,4,9,4,9,0,0,7,10,265,4.738,1,5
0,-4,-11,Syracuse,Duke,0.5755,0.5755,20,26,13,7,0.5772,0.638,0,0,8.7,19.5,53,3,0,0,13.59,29.12,54,3,107.7,122.6,94.1,86.1,0.5839,0.5845,5,8,1,11,4,7,7,3,19,9,9,9,2,0,6,11,213.396,270,11,2
1,2,7,Duke,Virginia Tech,0.5672,0.5672,29,24,5,8,0.6701,0.6053,0,0,21.7,16.6,3,11,0,0,31.99,24.47,3,11,120.1,118.4,88.1,94,0.6143,0.5571,9,7,19,4,12,5,5,6,9,14,9,14,0,0,9,9,250,51.143,1,4
0,-17,-6,LSU,Michigan St,0.5652,0.5665,26,28,6,6,0.6249,0.6457,0,0,12.9,19.8,24,4,0,0,20.97,31.36,18,4,118.5,121.7,97.5,90.4,0.5709,0.5817,9,10,10,13,6,8,2,3,7,12,7,7,0,1,10,13,4.301,125,3,2
1,14,7.5,Gonzaga,Florida St,0.5296,0.5672,30,27,3,7,0.6432,0.6345,0,0,22.8,14.3,2,16,0,0,32.79,22.56,2,14,125.1,113,92.3,90.4,0.5537,0.5789,11,10,5,9,4,7,3,5,15,21,15,11,0,2,21,8,380,266.176,1,4
1,19,-1.5,Texas Tech,Michigan,0.5826,0.5665,26,28,6,6,0.6192,0.6383,0,0,16.9,17.9,9,6,0,0,26.75,29.44,9,5,112.7,115.5,85.9,86.1,0.5569,0.5693,10,8,5,14,5,9,5,4,7,10,7,10,0,0,10,17,191.688,435,3,2
1,4,8.5,Virginia,Oregon,0.5672,0.5304,29,23,3,12,0.6554,0.5761,0,0,23.7,10.1,1,38,0,0,35.66,15.15,1,43,123.6,107.7,87.9,92.5,0.5738,0.551,10,9,17,7,10,5,3,3,12,21,12,11,0,2,16,8,90,252.556,1,12
1,5,-1.5,Purdue,Tennessee,0.5665,0.5652,23,29,9,5,0.6197,0.644,0,0,16.7,17.2,10,8,0,0,26.05,26.98,10,8,121.1,122.5,95,95.5,0.5775,0.5709,9,8,5,7,6,6,7,5,11,10,6,10,1,0,8,19,200,62.382,3,2
0,-17,5.5,North Carolina,Auburn,0.5672,0.5652,27,26,6,9,0.6532,0.6189,0,0,19.3,15.6,5,12,0,0,29.17,23.33,6,13,119.9,119.6,90.7,96.2,0.6039,0.5787,10,10,15,5,10,5,5,5,9,7,9,7,0,0,8,8,370,62.397,1,5
0,-4,-2,Houston,Kentucky,0.5456,0.5652,31,27,3,6,0.6481,0.6426,0,0,14.8,17.7,14,7,0,0,22.42,27.41,15,7,114.1,118.2,91.7,90.8,0.5638,0.5878,10,9,11,13,7,9,3,5,8,8,8,8,0,0,15,10,83.344,290,3,2
0,0,0,p,m,16,13,16,13,16,13,16,13,0,0,16,13,16,13,0,0,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,96,78,16,13,16,13,16,13,16,13,16,13
0,0,0,n,o,14,15,14,15,14,15,14,15,0,0,14,15,14,15,0,0,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,84,90,14,15,14,15,14,15,14,15,14,15
0,0,0,p,m,16,13,16,13,16,13,16,13,0,0,16,13,16,13,0,0,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,96,78,16,13,16,13,16,13,16,13,16,13
0,0,0,n,o,14,15,14,15,14,15,14,15,0,0,14,15,14,15,0,0,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,84,90,14,15,14,15,14,15,14,15,14,15
0,0,0,p,m,16,13,16,13,16,13,16,13,0,0,16,13,16,13,0,0,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,96,78,16,13,16,13,16,13,16,13,16,13
0,0,0,n,o,14,15,14,15,14,15,14,15,0,0,14,15,14,15,0,0,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,84,90,14,15,14,15,14,15,14,15,14,15
0,0,0,p,m,16,13,16,13,16,13,16,13,0,0,16,13,16,13,0,0,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,16,13,96,78,16,13,16,13,16,13,16,13,16,13
0,0,0,n,o,14,15,14,15,14,15,14,15,0,0,14,15,14,15,0,0,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,84,90,14,15,14,15,14,15,14,15,14,15
