Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
0,-6,Ohio St,Gonzaga,.5502,.5006,24,30,8,4,.6058,.5978,0,0,13.8,16.0,16,9,0,0,21.10,24.81,15,8,116.1,119.8,95.0,95.0,.5711,.5147,8,12,1,3,3,3,5,3,12,17,12,17,0,0,8,14,53.925,440.000,5,4
0,-1,Houston,Michigan,.5430,.5502,26,28,7,7,.6126,.6172,0,0,13.6,14.6,17,14,0,0,20.54,23.19,17,10,115.8,115.9,95.2,92.7,.5390,.5572,10,11,11,6,7,5,3,4,22,19,12,14,2,1,7,9,5.501,186.000,6,3
1,21,Texas A&M,North Carolina,.5747,.5755,20,25,12,10,.5959,.6418,0,0,10.4,16.7,38,7,0,0,16.91,25.03,30,7,111.2,121.9,94.3,96.9,.5910,.6223,7,9,7,16,8,11,9,6,4,6,4,6,0,0,7,6,93.338,520.000,7,2
1,23,Villanova,Alabama,.5772,.5747,30,19,4,15,.6599,.5766,0,0,21.5,8.7,1,54,0,0,31.40,13.83,2,51,127.4,108.4,96.0,94.6,.5888,.5995,9,5,23,8,13,8,3,8,7,8,7,3,0,1,13,5,285.000,4.989,1,9
1,23,West Virginia,Marshall,.5789,.4859,24,24,10,10,.5942,.5506,0,0,15.5,2.6,10,124,0,0,21.77,5.39,13,114,119.1,109.3,97.4,103.9,.5682,.4954,8,10,7,3,7,3,7,3,8,39,8,19,0,4,15,5,190.000,4.519,5,13
0,-3,Florida,Texas Tech,.5747,.5789,20,24,12,9,.5761,.5983,0,0,11.7,14.8,24,12,0,0,18.71,21.95,23,12,115.1,114.0,96.4,92.1,.5756,.5589,6,7,12,7,9,6,6,5,5,8,5,8,0,0,6,8,182.720,18.063,6,3
0,-3,Butler,Purdue,.5772,.5502,20,28,13,6,.5780,.6233,0,0,11.7,19.3,25,4,0,0,17.86,26.66,25,5,115.7,123.2,97.9,96.6,.5810,.5652,6,8,1,5,5,5,9,5,14,14,9,14,1,0,5,19,235.000,155.000,10,2
1,4,Kansas,Seton Hall,.5789,.5772,27,21,7,11,.6381,.5902,0,0,16.3,11.5,8,28,0,0,23.24,17.34,9,26,120.9,116.3,97.7,99.0,.6041,.5763,9,6,20,7,11,7,2,7,4,18,4,8,0,2,7,5,265.000,56.032,1,8
1,31,Clemson,Auburn,.5755,.5747,23,25,9,7,.6199,.6177,0,0,13.2,12.9,18,19,0,0,20.26,20.63,19,16,113.8,118.2,93.5,97.5,.5868,.5619,7,7,4,8,5,7,6,6,9,7,9,7,0,0,10,14,4.738,4.172,5,4
1,2,Syracuse,Michigan St,.5755,.5502,20,29,13,4,.5772,.6153,0,0,8.7,18.0,53,6,0,0,13.59,26.34,54,6,107.7,120.0,94.1,93.6,.5839,.5362,5,11,1,0,4,2,7,4,19,16,9,16,2,0,6,14,213.396,215.000,11,3
0,-25,Rhode Island,Duke,.5095,.5755,25,26,7,7,.6161,.6380,0,0,10.9,19.5,32,3,0,0,14.38,29.12,49,3,111.7,122.6,97.3,86.1,.5520,.5845,8,8,2,11,3,7,4,3,12,9,12,9,0,0,16,11,102.988,270.000,7,2
1,1,Duke,UCF,.5672,.5456,29,23,5,8,.6701,.6086,0,0,21.7,9.7,3,42,0,0,31.99,14.58,3,46,120.1,110.3,88.1,95.7,.6143,.5622,9,8,19,3,12,3,5,3,9,13,9,8,0,1,9,7,250.000,5.708,1,9
0,-9,Liberty,Virginia Tech,.4688,.5672,28,24,6,8,.5493,.6053,0,0,7.2,16.6,62,11,0,0,10.82,24.47,63,11,110.6,118.4,99.7,94.0,.4581,.5571,10,7,2,4,1,5,0,6,28,14,18,14,2,0,8,9,4.991,51.143,12,4
0,-2,Maryland,LSU,.5665,.5652,22,26,10,6,.6017,.6249,0,0,12.1,12.9,28,24,0,0,19.98,20.97,24,18,113.8,118.5,93.8,97.5,.5800,.5709,6,9,3,10,5,6,7,2,11,7,6,7,1,0,7,10,87.375,4.301,6,3
0,-20,Minnesota,Michigan St,.5665,.5665,21,28,13,6,.5788,.6457,0,0,8.0,19.8,55,4,0,0,14.46,31.36,47,4,110.7,121.7,96.2,90.4,.5683,.5817,5,10,0,13,4,8,8,3,17,12,7,7,2,1,6,13,17.391,125.000,10,2
1,12,Gonzaga,Baylor,.5296,.5826,30,19,3,13,.6432,.5653,0,0,22.8,9.8,2,41,0,0,32.79,15.29,2,41,125.1,113.5,92.3,98.2,.5537,.5683,11,5,5,6,4,6,3,6,15,15,15,5,0,2,21,6,380.000,102.235,1,9
0,-28,Murray St,Florida St,.4742,.5672,27,27,4,7,.5816,.6345,0,0,8.9,14.3,49,16,0,0,13.33,22.56,52,14,112.0,113.0,98.7,90.4,.4816,.5789,11,10,0,9,1,7,2,5,18,21,18,11,0,2,11,8,42.551,266.176,12,4
0,-20,Buffalo,Texas Tech,.5273,.5826,31,26,3,6,.6411,.6192,0,0,12.9,16.9,23,9,0,0,20.34,26.75,22,9,114.9,112.7,94.6,85.9,.5406,.5569,12,10,5,5,3,5,1,5,15,7,10,7,1,0,12,10,121.594,191.688,6,3
0,-15,Florida,Michigan,.5652,.5665,19,28,15,6,.5652,.6383,0,0,11.6,17.9,31,6,0,0,18.32,29.44,28,5,110.2,115.5,91.9,86.1,.5746,.5693,7,8,-6,14,2,9,10,4,13,10,8,10,1,0,5,17,216.167,435.000,10,2
1,12,Virginia,Oklahoma,.5672,.5826,29,19,3,13,.6554,.5799,0,0,23.7,10.1,1,39,0,0,35.66,15.53,1,38,123.6,109.4,87.9,93.9,.5738,.5783,10,4,17,-4,10,2,3,8,12,5,12,5,0,0,16,7,90.000,265.000,1,9
1,19,Oregon,UC Irvine,.5304,.4616,23,30,12,5,.5761,.5613,0,0,10.1,5.6,38,82,0,0,15.15,9.46,43,75,107.7,106.6,92.5,97.1,.5510,.4629,9,12,7,0,5,1,3,2,21,33,11,23,2,2,8,16,252.556,5.281,12,13
0,-26,Villanova,Purdue,.5612,.5665,25,23,9,9,.6224,.6197,0,0,13.1,16.7,21,10,0,0,18.77,26.05,26,10,117.0,121.1,98.2,95.0,.5775,.5775,7,9,6,5,5,6,4,7,7,11,7,6,0,1,11,8,465.000,200.000,6,3
0,-6,Iowa,Tennessee,.5665,.5652,22,29,11,5,.5667,.6440,0,0,10.3,17.2,37,8,0,0,15.96,26.98,36,8,117.2,122.5,101.2,95.5,.5428,.5709,6,8,-2,7,3,6,8,5,11,10,11,10,0,0,6,19,43.373,62.382,10,2
1,22,North Carolina,Washington,.5672,.5304,27,26,6,8,.6532,.6064,0,0,19.3,8.4,5,51,0,0,29.17,13.37,6,51,119.9,107.0,90.7,93.6,.6039,.5552,10,8,15,-5,10,1,5,7,9,15,9,10,0,1,8,12,370.000,4.459,1,9
1,14,Auburn,Kansas,.5652,.5826,26,25,9,9,.6189,.6559,0,0,15.6,13.5,12,19,0,0,23.33,20.71,13,20,119.6,112.7,96.2,92.0,.5787,.6179,10,8,5,13,5,10,5,7,7,2,7,2,0,0,8,10,62.397,375.000,5,4
0,-15,Ohio St,Houston,.5665,.5456,19,31,14,3,.5567,.6481,0,0,9.9,14.8,40,14,0,0,15.08,22.42,45,15,109.3,114.1,94.2,91.7,.5610,.5638,5,10,-6,11,2,7,10,3,18,8,8,8,2,0,6,15,82.794,83.344,11,3
0,-6,Wofford,Kentucky,.5057,.5652,28,27,4,6,.6126,.6426,0,0,14.1,17.7,17,7,0,0,20.71,27.41,19,7,118.4,118.2,97.6,90.8,.5205,.5878,12,9,2,13,3,9,4,5,17,8,17,8,0,0,20,10,4.863,290.000,7,2
